,club_id,club_name,squad_size,average_age,foreigners_percentage,national_team_players,stadium_name,stadium_seats,domestic_competition
167,3,1.FC Köln,34,24.8,32.4,7,RheinEnergieSTADION,50000,bundesliga
380,4,1.FC Nuremberg,33,25.2,21.2,2,Max-Morlock-Stadion,50000,bundesliga
311,5,AC Milan,30,27.1,80.0,17,Giuseppe Meazza,75923,serie-a
49,6,Adanaspor,10,23.9,40.0,0,Yeni Adana Stadyumu,33000,super-lig
234,10,Arminia Bielefeld,27,25.3,55.6,4,SchücoArena,26515,bundesliga
288,11,Arsenal FC,27,25.1,70.4,18,Emirates Stadium,60704,premier-league
127,12,AS Roma,28,26.3,67.9,15,Olimpico di Roma,73261,serie-a
238,13,Atlético de Madrid,22,28.7,68.2,15,Civitas Metropolitano,68456,laliga
369,15,Bayer 04 Leverkusen,27,24.9,70.4,12,BayArena,30210,bundesliga
241,16,Borussia Dortmund,33,24.7,51.5,16,SIGNAL IDUNA PARK,81365,bundesliga
103,18,Borussia Mönchengladbach,27,26.0,51.9,9,Stadion im Borussia-Park,54042,bundesliga
374,19,Brescia Calcio,28,25.1,42.9,1,Mario Rigamonti,19550,serie-a
193,20,Bursaspor,26,21.4,,0,Bursa Büyükşehir Belediye Stadyumu,43361,super-lig
138,23,Eintracht Braunschweig,29,26.0,31.0,0,EINTRACHT-Stadion,23325,bundesliga
140,24,Eintracht Frankfurt,31,25.1,58.1,11,Deutsche Bank Park,51500,bundesliga
107,27,Bayern Munich,27,26.6,59.3,21,Allianz Arena,75024,bundesliga
329,29,Everton FC,25,27.5,48.0,10,Goodison Park,39571,premier-league
168,31,Liverpool FC,30,26.8,70.0,17,Anfield,54074,premier-league
84,33,FC Schalke 04,32,27.4,56.3,6,Veltins-Arena,62271,bundesliga
169,36,Fenerbahce,29,26.7,51.7,14,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,47834,super-lig
379,38,Fortuna Düsseldorf,29,25.9,41.4,2,MERKUR SPIEL-ARENA,54600,bundesliga
113,39,1.FSV Mainz 05,27,25.3,48.1,7,Mewa Arena,33305,bundesliga
352,40,FC Girondins Bordeaux,26,22.7,50.0,6,Matmut Atlantique,42115,ligue-1
399,41,Hamburger SV,30,23.6,50.0,4,Volksparkstadion,57000,bundesliga
308,42,Hannover 96,28,25.0,21.4,1,Heinz-von-Heiden-Arena,49000,bundesliga
400,43,Heart of Midlothian FC,31,26.3,48.4,9,Tynecastle Park,19852,scottish-premiership
309,44,Hertha BSC,29,26.1,55.2,8,Olympiastadion Berlin,74667,bundesliga
47,46,Inter Milan,29,27.8,58.6,16,Giuseppe Meazza,75923,serie-a
178,47,Iraklis Thessaloniki,27,24.3,33.3,0,Kaftanzoglio Stadio,27770,super-league-1
151,58,RSC Anderlecht,26,24.7,46.2,10,Lotto Park,21500,jupiler-pro-league
18,60,SC Freiburg,26,26.4,38.5,10,Europa-Park Stadion,34700,bundesliga
259,65,SpVgg Greuther Fürth,28,24.0,39.3,2,Sportpark Ronhof | Thomas Sommer,16626,bundesliga
386,79,VfB Stuttgart,30,23.7,53.3,8,Mercedes-Benz Arena,60449,bundesliga
120,80,VfL Bochum,28,28.1,60.7,4,Vonovia Ruhrstadion,26000,bundesliga
407,82,VfL Wolfsburg,25,24.8,60.0,10,Volkswagen Arena,30000,bundesliga
53,86,SV Werder Bremen,26,25.4,34.6,6,Wohninvest-Weserstadion,42100,bundesliga
283,89,1.FC Union Berlin,27,27.6,48.1,9,Stadion An der Alten Försterei,22012,bundesliga
324,105,SV Darmstadt 98,27,25.6,40.7,1,Merck-Stadion am Böllenfalltor,17500,bundesliga
341,114,Besiktas JK,31,27.4,48.4,13,Vodafone Park,42590,super-lig
391,121,Dynamo Moscow,23,25.1,39.1,9,VTB-Arena,25716,premier-liga
128,124,Rangers FC,35,26.6,62.9,10,Ibrox Stadium,50987,scottish-premiership
57,126,Caykur Rizespor,32,26.8,28.1,1,Çaykur Didi,15332,super-lig
0,127,SC Paderborn 07,26,25.7,19.2,1,Home Deluxe Arena,15000,bundesliga
58,128,AO Xanthi,0,,,0,Xanthi Arena,7361,super-league-1
98,130,Parma Calcio 1913,30,24.9,76.7,6,Ennio Tardini,22352,serie-a
81,131,FC Barcelona,22,25.6,40.9,16,Spotify Camp Nou,99354,laliga
160,132,NAC Breda,32,23.7,31.3,2,Rat Verlegh Stadion,19000,eredivisie
264,133,SC Cambuur Leeuwarden,30,25.8,40.0,5,Cambuurstadion,10250,eredivisie
190,141,Galatasaray,30,26.0,53.3,13,Ali Sami Yen Spor Kompleksi NEF Stadyumu,52223,super-lig
99,142,Real Zaragoza,27,26.0,33.3,3,La Romareda,33608,laliga
161,148,Tottenham Hotspur,25,26.8,68.0,16,Tottenham Hotspur Stadium,62062,premier-league
294,150,Real Betis Balompié,26,29.1,50.0,8,Benito Villamarín,59378,laliga
32,157,KAA Gent,25,26.3,48.0,4,Ghelamco Arena,19999,jupiler-pro-league
192,162,AS Monaco,27,24.4,100.0,9,Stade Louis-II,18523,ligue-1
295,167,FC Augsburg,32,25.3,59.4,7,WWK ARENA,30660,bundesliga
61,169,Panionios Athens,34,23.5,11.8,0,Stadio Neas Smyrnis,11700,super-league-1
102,172,RSC Charleroi,25,24.0,72.0,7,Stade du Pays de Charleroi,15000,jupiler-pro-league
266,173,Odense Boldklub,26,23.8,50.0,5,Nature Energy Park,15790,superligaen
62,180,Southampton FC,33,25.5,66.7,15,St Mary's Stadium,32384,premier-league
267,190,FC Copenhagen,28,25.5,60.7,10,Parken,38065,superligaen
1,192,Roda JC Kerkrade,25,24.0,36.0,0,Parkstad Limburg Stadion,19979,eredivisie
